Timestamp;I agree to participate in this research;Type this code: 5I4Y3H;;Question 1. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (1);Question 2. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (2);Question 3. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (3);Question 4. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (4);Question 5. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (5);Question 6. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (6);I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2020/11/25 3:57:07 pm EET;Yes;HE694S;fragile;4;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;4;I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;3;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;3;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;4;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;na
2020/11/25 3:57:15 pm EET;Yes;3OUM8L;fragile;4;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;1;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;4;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;I thought this was simple but I find myself second-guessing myself.....
2020/11/25 3:59:14 pm EET;Yes;VFUIO;fragile;1;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;1;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;1;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;1;I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;2;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;
2020/11/25 4:01:11 pm EET;Yes;VQRYOX;fragile;3;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;3;I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;4;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;3;I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;3;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;interesting
2020/11/25 4:01:21 pm EET;Yes;YA0VQ9;fragile;4;I do not endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;4;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;3;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;2;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;5;I do not endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;very nice survey.
2020/11/25 4:02:35 pm EET;Yes;2EP5WD;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;1;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;4;I do endorse the statement that Quentin O is a nurse. I mostly endorse the statement that Quentin O does have a caring bedside manner.;2;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;2;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;
2020/11/25 4:05:32 pm EET;Yes;G8SHLV;fragile;5;I do not endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;4;I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;5;I do not endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do not endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;
2020/11/25 4:06:36 pm EET;Yes;VQRYOX;fragile;4;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;4;I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;4;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;good
2020/11/25 4:14:55 pm EET;Yes;8WRXAJ;fragile ;3;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;5;I do not endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;3;I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;4;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do not endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;5;I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;NICE
2020/11/25 4:15:17 pm EET;Yes;EMYJHO;fragile;4;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;4;I do not endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;4;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;4;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;4;I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;good
2020/11/25 4:15:34 pm EET;Yes;X85IYN;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;2;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;5;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;2;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;2;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;Great pay, fun to do
2020/11/25 4:16:30 pm EET;Yes;8WRXAJ;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;4;I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;4;I do not endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;nice
2020/11/25 4:18:35 pm EET;Yes;L0CEY;fragile;4;I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;4;I do not endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;5;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;4;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;Such a good experience.
2020/11/25 4:19:24 pm EET;Yes;MH7HGB;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;2;"I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;She could also be far-sighted";4;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;4;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;It was very quick and simple.  I hope my small contribution helps in some way.  Thanks.
2020/11/25 4:30:31 pm EET;Yes;INT80C;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;1;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;2;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;2;I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;3;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;no
2020/11/25 4:50:33 pm EET;Yes;XXHMCF;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;3;"I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.";4;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;4;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;3;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;none today.
2020/11/25 4:53:44 pm EET;Yes;AF3BB;fragile;3;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;1;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;3;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;3;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;2;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;No final thoughts
2020/11/25 4:57:28 pm EET;Yes;JBJXZG;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;5;"I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.";3;"I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.";5;"I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.";5;"I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.";5;I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;the survey is general statements of the world is very importion 
2020/11/25 4:59:34 pm EET;Yes;HTNTT;fragile;4;I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;1;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;3;I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;1;I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;3;I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;3;I do endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.;Yes;
2020/11/25 5:02:28 pm EET;Yes;L8G28U;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;5;"I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.";5;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;5;I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.;4;I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;the survey about general statements of the world in very importion
2020/11/25 5:09:53 pm EET;Yes;KHVDKE;fragile;5;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;2;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;2;I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.;4;I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;3;I don't know what a boffin is;5;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;
2020/11/25 6:26:06 pm EET;Yes;H9ECFK;fragile;2;I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;3;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;5;I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;4;I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;5;I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;4;I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.;Yes;GOOD
